Company,Pattern,Time Frame,Created Date & Time,Open,High,Low,Close,Volume
TCS,5min,Three White Soldiers,2025-09-05 10:20:00,3418.0,3427.1,3415.4,3425.8,31475.0
TCS,5min,Hammer,2025-09-05 10:50:00,3416.3,3416.5,3411.0,3416.0,22589.0
TCS,5min,Dragonfly Doji,2025-09-05 10:50:00,3416.3,3416.5,3411.0,3416.0,22589.0
TCS,5min,Hammer,2025-09-05 12:30:00,3421.5,3421.6,3420.5,3421.6,34689.0
TCS,5min,Dragonfly Doji,2025-09-05 12:30:00,3421.5,3421.6,3420.5,3421.6,34689.0
TCS,5min,Three White Soldiers,2025-09-05 13:50:00,3427.0,3433.0,3426.6,3432.5,29128.0
TCS,5min,Hammer,2025-09-06 10:40:00,3419.9,3419.9,3416.4,3419.8,416165.0
TCS,5min,Dragonfly Doji,2025-09-06 10:40:00,3419.9,3419.9,3416.4,3419.8,416165.0
TCS,5min,Hammer,2025-09-06 11:05:00,3422.0,3423.0,3418.6,3422.6,44202.0
TCS,5min,Hammer,2025-09-06 11:20:00,3421.9,3422.6,3420.1,3422.6,6162.0
TCS,5min,Hammer,2025-09-06 11:55:00,3418.8,3420.1,3416.2,3419.6,11823.0
TCS,5min,Hammer,2025-09-06 12:40:00,3430.0,3431.4,3427.0,3431.2,23032.0
TCS,5min,Hammer,2025-09-06 15:15:00,3422.3,3423.1,3420.7,3422.8,35101.0
TCS,5min,Hammer,2025-09-06 15:25:00,3422.7,3423.2,3420.9,3423.0,41601.0
TCS,5min,Hammer,2025-09-07 10:20:00,3406.0,3406.7,3404.5,3406.6,12205.0
TCS,5min,Hammer,2025-09-07 11:20:00,3399.6,3399.6,3398.0,3399.2,6973.0
TCS,5min,Dragonfly Doji,2025-09-07 11:25:00,3399.2,3399.5,3397.2,3399.3,8490.0
TCS,5min,Hammer,2025-09-07 13:05:00,3369.2,3371.0,3367.0,3370.2,42112.0
TCS,5min,Hammer,2025-09-07 15:25:00,3386.7,3386.9,3384.6,3386.0,51465.0
TCS,5min,Three White Soldiers,2025-10-01 10:10:00,4193.6,4204.0,4193.6,4199.0,66661.0
TCS,5min,Fishing Window,2025-10-01 11:30:00,4244.0,4264.0,4242.9,4263.8,217316.0
TCS,5min,Hammer,2025-10-01 12:20:00,4279.15,4282.0,4271.55,4280.8,76582.0
TCS,5min,Hammer,2025-10-01 12:40:00,4279.4,4281.75,4274.0,4280.65,41945.0
TCS,5min,Hammer,2025-10-01 12:50:00,4283.95,4285.0,4280.5,4284.85,27225.0
TCS,5min,Hammer,2025-10-01 13:15:00,4278.0,4282.9,4270.2,4280.95,98677.0
TCS,5min,Hammer,2025-10-01 14:50:00,4266.95,4267.7,4260.0,4266.0,86829.0
TCS,5min,Evening Star,2025-10-02 11:00:00,4036.3,4036.4,4031.55,4032.55,5040.0
TCS,5min,Hammer,2025-10-02 11:05:00,4032.55,4033.2,4029.25,4033.2,4909.0
TCS,5min,Hammer,2025-10-02 11:40:00,4032.7,4034.65,4030.0,4033.8,7103.0
TCS,5min,Hammer,2025-10-02 12:30:00,4032.9,4033.3,4028.75,4031.95,8150.0
TCS,5min,Hammer,2025-10-02 12:50:00,4034.7,4035.0,4030.95,4033.95,10105.0
TCS,5min,Hammer,2025-10-02 12:55:00,4033.95,4035.85,4030.4,4034.95,16328.0
TCS,5min,Hammer,2025-10-02 13:55:00,4039.5,4040.15,4036.75,4039.95,6097.0
TCS,5min,Hammer,2025-10-02 14:00:00,4039.95,4040.0,4036.75,4039.1,9987.0
TCS,5min,Hammer,2025-10-02 14:15:00,4035.4,4036.3,4032.0,4034.3,10467.0
TCS,5min,Hammer,2025-10-02 14:25:00,4032.7,4035.45,4029.6,4034.1,12106.0
TCS,5min,Hammer,2025-10-02 15:10:00,4036.7,4036.7,4032.85,4035.8,29938.0
